area,id,lat,lon,radius_km
Area1,S1,72.682138,91.658782,300
Area1,S2,70.256698,108.347456,300
Area1,S3,67.831258,82.122397,300
Area1,S4,67.831258,129.804321,300
Area1,S5,67.831258,144.108898,300
Area1,S6,67.831258,96.426975,300
Area1,S7,65.405818,60.665532,300
Area1,S8,65.405818,156.029379,300
Area1,S9,65.405818,170.333957,300
Area1,S10,65.405818,108.347456,300
Area1,S11,75.107578,103.579263,300
Area1,S12,62.980378,43.976858,300
Area1,S13,62.980378,72.586013,300
Area1,S14,62.980378,86.890590,300
Area1,S15,62.980378,120.267937,300
Area1,S16,62.980378,134.572514,300
Area1,S17,60.554937,98.811071,300
Area1,S18,70.256698,117.883840,300
Area1,S19,60.554937,55.897339,300
Area1,S20,58.129497,43.976858,300
Area1,S21,58.129497,72.586013,300
Area1,S22,58.129497,120.267937,300
Area1,S23,60.554937,108.347456,300
Area1,S24,70.256698,70.201916,300
Area1,S25,55.704057,84.506494,300
Area1,S26,55.704057,94.042878,300
Area1,S27,55.704057,103.579263,300
Area1,S28,55.704057,51.129147,300
Area1,S29,55.704057,60.665532,300
Area1,S30,55.704057,132.188418,300
Area1,S31,58.129497,34.440474,300
Area1,S32,62.980378,148.877091,300
Area1,S33,70.256698,156.029379,300
Area1,S34,53.278617,39.208666,300
Area1,S35,53.278617,115.499744,300
Area1,S36,67.831258,34.440474,300
Area1,S37,50.853177,136.956610,300
Area1,S38,60.554937,65.433724,300
Area1,S39,46.002296,41.592762,300
Area1,S40,62.980378,34.440474,300
Area1,S41,50.853177,46.360955,300
Area1,S42,65.405818,51.129147,300
Area1,S43,60.554937,79.738301,300
Area1,S44,60.554937,127.420225,300
Area1,S45,62.980378,163.181668,300
Area1,S46,67.831258,172.718053,300
Area1,S47,70.256698,141.724802,300
Area1,S48,50.853177,89.274686,300
Area1,S49,55.704057,160.797572,300
Area1,S50,60.554937,136.956610,300
Area1,S51,53.278617,105.963359,300
Area1,S52,53.278617,125.036129,300
Area1,S53,60.554937,89.274686,300
Area1,S54,53.278617,96.426975,300
Area1,S55,50.853177,132.188418,300
Area1,S56,65.405818,122.652033,300
Area1,S57,72.682138,120.267937,300
Area1,S58,53.278617,53.513243,300
Area1,S59,55.704057,113.115648,300
Area1,S60,53.278617,34.440474,300
Area1,S61,53.278617,82.122397,300
Area1,S62,62.980378,96.426975,300
Area1,S63,62.980378,172.718053,300
Area1,S64,65.405818,74.970109,300
Area1,S65,70.256698,84.506494,300
Area1,S66,55.704057,74.970109,300
Area1,S67,60.554937,151.261187,300
Area1,S68,43.576856,134.572514,300
Area1,S69,60.554937,113.115648,300
Area1,S70,62.980378,139.340706,300
Area1,S71,46.002296,46.360955,300
Area1,S72,50.853177,113.115648,300
Area1,S73,67.831258,58.281436,300
Area1,S74,67.831258,163.181668,300
Area1,S75,60.554937,51.129147,300
Area1,S76,46.002296,136.956610,300
Area1,S77,55.704057,65.433724,300
Area1,S78,58.129497,29.672281,300
Area1,S79,50.853177,41.592762,300
Area1,S80,50.853177,60.665532,300
Area1,S81,58.129497,139.340706,300
Area1,S82,43.576856,43.976858,300
Area1,S83,50.853177,117.883840,300
Area1,S84,53.278617,43.976858,300
Area1,S85,53.278617,139.340706,300
Area1,S86,55.704057,122.652033,300
Area1,S87,60.554937,165.565764,300
Area1,S88,62.980378,101.195167,300
Area1,S89,67.831258,39.208666,300
Area1,S90,70.256698,127.420225,300
Area1,S91,53.278617,158.413476,300
Area1,S92,65.405818,65.433724,300
Area1,S93,65.405818,89.274686,300
Area1,S94,65.405818,113.115648,300
Area1,S95,50.853177,103.579263,300
Area1,S96,53.278617,86.890590,300
Area1,S97,58.129497,39.208666,300
Area1,S98,58.129497,58.281436,300
Area1,S99,58.129497,82.122397,300
Area1,S100,58.129497,129.804321,300
Area1,S101,60.554937,141.724802,300
Area1,S102,62.980378,177.486245,300
Area1,S103,72.682138,86.890590,300
Area1,S104,50.853177,94.042878,300
Area1,S105,50.853177,108.347456,300
Area1,S106,50.853177,127.420225,300
Area1,S107,55.704057,89.274686,300
Area1,S108,55.704057,98.811071,300
